epoch,accuracy,loss
62,0.5078125,1.4559519290924072
63,0.4921875,1.5983474254608154
64,0.48828125,1.60969877243042
65,0.53515625,1.4896941184997559
66,0.5,1.5811011791229248
67,0.5390625,1.3706190586090088
68,0.546875,1.3573633432388306
69,0.58203125,1.3477768898010254
70,0.57421875,1.3203635215759277
71,0.546875,1.4242088794708252
72,0.546875,1.3185219764709473
73,0.5234375,1.552642583847046
74,0.51171875,1.5926966667175293
75,0.6171875,1.2135584354400635
76,0.48828125,1.5149952173233032
77,0.55859375,1.4710006713867188
78,0.53125,1.5613380670547485
79,0.578125,1.3485474586486816
80,0.5122950673103333,1.5739378929138184
81,0.61328125,1.2960634231567383
82,0.578125,1.4165754318237305
83,0.57421875,1.3723104000091553
84,0.5625,1.390880823135376
85,0.625,1.1920026540756226
86,0.5859375,1.2359107732772827
87,0.640625,1.2415053844451904
88,0.59765625,1.1858065128326416
89,0.62890625,1.2539513111114502
90,0.58203125,1.3365974426269531
91,0.5703125,1.3787908554077148
92,0.6015625,1.2791705131530762
93,0.58203125,1.3360472917556763
94,0.625,1.2141156196594238
95,0.66015625,1.0516940355300903
96,0.640625,1.085409164428711
97,0.60546875,1.1133396625518799
98,0.63671875,1.016683578491211
99,0.6484375,1.165126919746399
100,0.58984375,1.2240915298461914
101,0.625,1.1221442222595215
102,0.62109375,1.1258084774017334
103,0.65625,0.9906349182128906
104,0.640625,1.0958144664764404
105,0.640625,1.0583645105361938
106,0.64453125,1.119502305984497
107,0.6484375,1.1662328243255615
108,0.640625,1.1645801067352295
109,0.65625,1.0226211547851562
110,0.640625,1.2225713729858398
111,0.62109375,1.145599126815796
112,0.62890625,1.113113284111023
113,0.6484375,1.0816981792449951
114,0.62890625,1.0182173252105713
115,0.62109375,1.2147608995437622
116,0.70703125,0.982353925704956
117,0.609375,1.2132127285003662
118,0.6640625,1.1377859115600586
119,0.58984375,1.19911527633667
120,0.66015625,1.0560417175292969
121,0.640625,1.0487970113754272
122,0.65234375,1.0821865797042847
123,0.65234375,0.9773465394973755
124,0.64453125,1.0832054615020752
125,0.69140625,0.9620139002799988
126,0.71875,0.9407960176467896
127,0.69921875,0.9444531202316284
128,0.67578125,0.924552321434021
129,0.75,0.8051448464393616
130,0.67578125,0.9592921137809753
131,0.67578125,1.003990650177002
132,0.6640625,1.0399999618530273
133,0.71484375,0.9037142992019653
134,0.71484375,0.9054099321365356
135,0.76171875,0.8391298055648804
136,0.66015625,1.0496387481689453
137,0.63671875,1.166290044784546
138,0.6953125,1.06029212474823
139,0.72265625,0.8499119281768799
140,0.6875,0.9908331632614136
141,0.73046875,0.7911714315414429
142,0.6953125,0.9907314777374268
143,0.703125,0.9476008415222168
144,0.7265625,0.873607873916626
145,0.703125,1.021725058555603
146,0.73828125,0.7842286229133606
147,0.71484375,0.902541995048523
148,0.69921875,0.8518703579902649
149,0.7265625,0.8189458847045898
150,0.7265625,0.8329882621765137
151,0.66796875,1.000473976135254
152,0.703125,0.9390785694122314
153,0.7421875,0.8234378099441528
154,0.734375,0.8575075268745422
155,0.7109375,0.8175345659255981
156,0.79296875,0.6903488039970398
157,0.75390625,0.8142019510269165
158,0.80078125,0.6832693219184875
159,0.73828125,0.8663233518600464
160,0.7265625,0.7830538153648376
161,0.734375,0.7614687085151672
162,0.7578125,0.7835050225257874
163,0.72265625,0.7675673961639404
164,0.765625,0.7737070918083191
165,0.73046875,0.810362696647644
166,0.765625,0.7466322183609009
167,0.7734375,0.6958554983139038
168,0.7265625,0.8203263282775879
169,0.76171875,0.7530285716056824
170,0.75390625,0.8130967020988464
171,0.765625,0.7338293194770813
172,0.7421875,0.7530893087387085
173,0.7265625,0.8253253698348999
174,0.77734375,0.7192448377609253
175,0.73828125,0.8304705619812012
176,0.73046875,0.7837879657745361
177,0.734375,0.7832618951797485
178,0.75390625,0.8315685391426086
179,0.71484375,0.8227499723434448
180,0.75,0.7140166759490967
181,0.734375,0.833986759185791
182,0.69921875,0.8240633606910706
183,0.75390625,0.6993435621261597
184,0.76953125,0.7439573407173157
185,0.79296875,0.660932183265686
186,0.74609375,0.7940484881401062
187,0.75,0.7426429986953735
188,0.80078125,0.6601653099060059
189,0.765625,0.6926326155662537
190,0.7890625,0.7099482417106628
191,0.77734375,0.6265937089920044
192,0.78125,0.7183945775032043
193,0.75,0.767838180065155
194,0.80078125,0.6023101210594177
195,0.8203125,0.6105923056602478
196,0.79296875,0.6422559022903442
197,0.76953125,0.6832362413406372
198,0.8203125,0.5925383567810059
199,0.80859375,0.5953060984611511
